question_id ;question_english;correct_answer_english;incorrect_answer_1_english;incorrect_answer_2_english;incorrect_answer_3_english;question_french;correct_answer_french;incorrect_answer_1_french;incorrect_answer_2_french;incorrect_answer_3_french
B-005-002-004;What is the best conductor among the following materials?;copper;carbon;silicon;aluminium;Quel est le meilleur conducteur parmi les matériaux suivants?;Le cuivre;Le carbone;Le silicium;L'aluminium
B-005-002-005;Which type of material listed will most readily allow an electric current to flow?;a conductor;an insulator;a semiconductor;a dielectric;De cette liste, quel type de matériau permet le plus facilement le passage d'un courant électrique?;Un conducteur;Un isolant;Un semi-conducteur;Un diélectrique
B-005-002-006;A length of metal is connected in a circuit and is found to conduct electricity very well. It would be best described as having a:;low resistance;high resistance;high wattage;low wattage;Un bout de métal est inséré dans un circuit et on réalise qu'il conduit très bien l'électricité. On peut le décrire comme ayant :;une faible résistance;une résistance élevée;une puissance élevée;une faible puissance
B-005-002-007;The letter "R" is the symbol for:;resistance;impedance;reluctance;reactance;La lettre "R" est le symbole de :;la résistance;l'impédance;la réluctance;la réactance
B-005-002-008;The reciprocal of resistance is:;conductance;reactance;reluctance;permeability;L'inverse de la résistance est la :;conductance;réactance;réluctance;perméabilité
B-005-002-009;Voltage drop means:;the voltage developed across the terminals of a component;any point in a radio circuit which has zero voltage;the difference in voltage at output terminals of a transformer;the voltage which is dissipated before useful work is accomplished;La "chute de tension" est :;la tension qui apparaît aux bornes d'un composant;tout point d'un circuit radio où la tension est égale à zéro;la différence de tension entre les bornes de sortie d'un transformateur;la tension qui est dissipée avant qu'un travail utile puisse être accompli
B-005-002-010;The resistance of a conductor changes with:;temperature;voltage;current;humidity;La résistance d'un conducteur varie avec :;la température;la tension;le courant;l'humidité
B-005-002-011;The most common material used to make a resistor is:;carbon;gold;mica;lead;Quel est le matériau le plus communément utilisé pour la fabrication des résistances?;Le carbone;L'or;Le mica;Le plomb
B-005-003-001;What is the word used to describe the rate at which electrical energy is used?;Power;Current;Voltage;Resistance;Quel mot décrit la rapidité avec laquelle l'énergie électrique est utilisée?;La puissance;Le courant;Le voltage;La résistance
B-005-003-002;If you have light bulbs marked 40 watts, 60 watts and 100 watts, which one will use electrical energy the fastest?;The 100 watt bulb;They will all be the same;The 40 watt bulb;The 60 watt bulb;Vous avez trois ampoules électriques, soit, 40, 60 et 100 watts. Laquelle consommera le plus d'électricité?;L'ampoule de 100 watts;Aucune différence;L'ampoule de 40 watts;L'ampoule de 60 watts
B-005-003-003;What is the basic unit of electrical power?;The watt;The ampere;The volt;The ohm;Quelle est l'unité utilisée pour mesurer la puissance électrique?;Le watt;L'ampère;Le volt;L'ohm
B-005-003-004;Which electrical circuit will have no current?;An open circuit;A short circuit;A complete circuit;A closed circuit;Quel circuit électrique ne permet aucun courant?;Un circuit ouvert;Un court-circuit;Un circuit complet;Un circuit fermé
B-005-003-005;Which electrical circuit draws too much current?;A short circuit;A dead circuit;A closed circuit;An open circuit;Quel genre de circuit électrique exige trop de courant?;Un court-circuit;Un circuit mort;Un circuit fermé;Un circuit ouvert
B-005-003-006;Power is expressed in:;watts;volts;amperes;ohms;La puissance s'exprime en :;watts;volts;ampères;ohms
B-005-003-007;Which of the following two quantities should be multiplied together to find power?;Voltage and current;Inductance and capacitance;Voltage and inductance;Resistance and capacitance;Quelles sont les deux quantités que l'on doit multiplier entre elles pour obtenir la puissance?;La tension et le courant;L'inductance et la capacité;La tension et l'inductance;La résistance et la capacité
B-005-003-008;Which two electrical units multiplied together give the unit "watts"?;Volts and amperes;Volts and farads;Farads and henrys;Amperes and henrys;Quelles sont les unités électriques qui, multipliées entre elles, donnent des watts?;Volts et ampères;Volts et farads;Farads et henrys;Ampères et henrys
B-005-003-009;A resistor in a circuit becomes very hot and starts to burn. This is because the resistor is dissipating too much:;power;voltage;resistance;current;Une résistance dans un circuit devient très chaude et commence à brûler. Cela veut dire que cette résistance dissipe trop de :;puissance;tension;résistance;courant
B-005-003-010;High power resistors are usually large with heavy leads. The size aids the operation of the resistor by:;allowing heat to dissipate more readily;allowing higher voltage to be handled;increasing the effective resistance of the resistor;making it shock proof;Les résistances de forte puissance sont généralement de bonne taille avec des fils de gros diamètre. Ces particularités contribuent au bon fonctionnement de la résistance en :;permettant une dissipation plus rapide de la chaleur;permettant des tensions d'utilisation plus élevées;augmentant la valeur efficace de la résistance;les rendent résistantes au choc
B-005-003-011;The resistor that could dissipate the most heat would be marked:;20 watts;100 ohms;2 ohms;0.5 watt;De la liste suivante, la résistance capable de dissiper le plus de chaleur porterait l'inscription :;20 watts;100 ohms;2 ohms;0,5 watt
B-005-004-001;If a current of 2 amperes flows through a 50-ohm resistor, what is the voltage across the resistor?;100 volts;48 volts;52 volts;25 volts;Si un courant de 2 ampères traverse une résistance de 50 ohms, quel voltage apparaît aux bornes de la résistance?;100 volts;48 volts;52 volts;25 volts
B-005-004-002;How is the current in a DC circuit calculated when the voltage and resistance are known?;Current equals voltage divided by resistance;Current equals resistance multiplied by voltage;Current equals resistance divided by voltage;Current equals power divided by voltage;Comment calcule-t-on le courant dans un circuit à courant continu lorsque le voltage et la résistance sont connus?;Le courant égale le voltage divisé par la résistance;Le courant égale la résistance multipliée par le voltage;Le courant égale la résistance divisée par le voltage;Le courant égale la puissance divisée par le voltage
B-005-004-003;How is the resistance in a DC circuit calculated when the voltage and current are known?;Resistance equals voltage divided by current;Resistance equals current multiplied by voltage;Resistance equals power divided by voltage;Resistance equals current divided by voltage;Comment peut-on calculer la résistance dans un circuit à courant continu lorsque l'on connaît le voltage et le courant?;La résistance égale le voltage divisé par le courant;La résistance égale le courant multiplié par le voltage;La résistance égale la puissance divisée par le voltage;La résistance égale le courant divisé par le voltage
B-005-004-004;How is the voltage in a DC circuit calculated when the current and resistance are known?;Voltage equals current multiplied by resistance;Voltage equals current divided by resistance;Voltage equals resistance divided by current;Voltage equals power divided by current;Comment calcule-t-on le voltage dans un circuit à courant continu lorsque l'on connaît le courant et la résistance?;Le voltage égale le courant multiplié par la résistance;Le voltage égale le courant divisé par la résistance;Le voltage égale la résistance divisée par le courant;Le voltage égale la puissance divisée par le courant
B-005-004-005;If a 12-volt battery supplies 0.25 ampere to a circuit, what is the circuit's resistance?;48 ohms;3 ohms;12 ohms;0.25 ohm;Si une batterie de 12 volts fournit un courant de 0,25 ampère à un circuit, quelle est la résistance du circuit?;48 ohms;3 ohms;12 ohms;0,25 ohm
B-005-004-006;Calculate the value of resistance necessary to drop 100 volts with current flow of 0.8 milliamperes:;125 kilohms;125 ohms;1250 ohms;1.25 kilohms;Calculez la valeur de la résistance nécessaire pour obtenir une chute de tension de 100 volts quand le courant est de 0,8 milliampère :;125 kilohms;125 ohms;1 250 ohms;1,25 kilohm
B-005-004-007;The voltage required to force a current of 4.4 amperes through a resistance of 50 ohms is:;220 volts;2220 volts;22.0 volts;0.220 volt;Quelle tension est requise pour forcer un courant de 4,4 ampères dans une résistance de 50 ohms?;220 volts;2 220 volts;22,0 volts;0,220 volt
B-005-004-008;A lamp has a resistance of 30 ohms and a 6 volt battery is connected. The current flow will be:;0.2 ampere;2 amperes;0.5 ampere;0.005 ampere;Quel courant consomme une lampe à incandescence de 30 ohms raccordée à une batterie de 6 volts?;0,2 ampère;2 ampères;0,5 ampère;0,005 ampère
B-005-004-009;What voltage would be needed to supply a current of 200 milliamperes, to operate an electric lamp which has a resistance of 25 ohms?;5 volts;8 volts;175 volts;225 volts;Quelle tension serait nécessaire pour faire passer un courant de 200 mA dans une lampe électrique dont la résistance est de 25 ohms?;5 volts;8 volts;175 volts;225 volts
B-005-004-010;The resistance of a circuit can be found by using one of the following:;R = E/I;R = I/E;R = E/R;R = E x I;Laquelle des formules suivantes permet de calculer la résistance d'un circuit?;R = E/I;R = I/E;R = E/R;R = E x I
B-005-004-011;If a 3 volt battery supplies 300 milliamperes to a circuit, the circuit resistance is:;10 ohms;9 ohms;5 ohms;3 ohms;Si une batterie de 3 volts fait passer un courant de 300 mA dans un circuit, la résistance de ce circuit est de :;10 ohms;9 ohms;5 ohms;3 ohms
B-005-005-001;In a parallel circuit with a voltage source and several branch resistors, how is the total current related to the current in the branch resistors?;It equals the sum of the branch current through each resistor;It equals the average of the branch current through each resistor;It decreases as more parallel resistors are added to the circuit;It is the sum of each resistor's voltage drop multiplied by the total number of resistors;Plusieurs résistances sont placées en parallèle dans un circuit sous tension. Quel est le rapport entre le courant de la source et le courant traversant les résistances?;Le courant fourni par la source égale la somme des courants traversant les résistances;Le courant fourni par la source égale la moyenne des courants traversant les résistances;Le courant fourni par la source diminue à mesure que des résistances en parallèle sont ajoutées dans le circuit;Le courant fourni par la source égale la somme des chutes de tension individuelles multipliée par le nombre de résistances
B-005-005-002;Three resistors, respectively rated at 10, 15 and 20 ohms are connected in parallel across a 6-volt battery. Which statement is true?;The current through the 10 ohms, 15 ohms and 20 ohms separate resistances, when added together, equals the total current drawn from the battery;The current flowing through the 10 ohm resistance is less than that flowing through the 20 ohm resistance;The voltage drop across each resistance added together equals 6 volts;The voltage drop across the 20 ohm resistance is greater than the voltage across the 10 ohm resistance;Trois résistances, respectivement de 10, 15 et 20 ohms sont raccordées en parallèle aux bornes d'une batterie de 6 volts. Quel énoncé est vrai?;La somme des courants circulant dans chacune des résistances est égale au courant total débité par la batterie;Le courant circulant dans la résistance de 10 ohms est inférieur à celui qui circule dans la résistance de 20 ohms;La somme des chutes de tension aux bornes de chaque résistance est égale à 6 volts;La chute de tension aux bornes de la résistance de 20 ohms est supérieure à celle observée aux bornes de la résistance de 10 ohms
B-005-005-003;Total resistance in a parallel circuit:;is always less than the smallest resistance;depends upon the voltage drop across each branch;could be equal to the resistance of one branch;depends upon the applied voltage;La résistance totale d'un circuit parallèle :;est toujours inférieure à la plus faible résistance;dépend de la chute de tension aux bornes de chaque branche;pourrait être égale à la résistance d'une branche;dépend de la tension appliquée
B-005-005-004;Two resistors are connected in parallel and are connected across a 40 volt battery. If each resistor is 1000 ohms, the total current is:;80 milliamperes;40 milliamperes;80 amperes;40 amperes;Deux résistances sont raccordées en parallèle aux bornes d'une batterie de 40 volts. Si chaque résistance a une valeur de 1 000 ohms, le courant total est de :;80 milliampères;40 milliampères;80 ampères;40 ampères
B-005-005-005;The total resistance of resistors connected in series is:;greater than the resistance of any one resistor;less than the resistance of any one resistor;equal to the highest resistance present;equal to the lowest resistance present;La résistance totale d'un circuit formé de plusieurs résistances en série est :;supérieure à n'importe laquelle de ces résistances;inférieure à la plus faible de ces résistances;égale à la plus élevée de ces résistances;égale à la plus faible de ces résistances
B-005-005-006;Five 10 ohm resistors connected in series equals:;50 ohms;5 ohms;10 ohms;1 ohm;Cinq résistances de 10 ohms chacune, connectées en série, équivalent à :;50 ohms;5 ohms;10 ohms;1 ohm
B-005-005-007;Which series combination of resistors would replace a single 120 ohm resistor?;Five 24 ohm;Six 22 ohm;Two 62 ohm;Five 100 ohm;Quelle combinaison de résistances en série remplacerait une résistance de 120 ohms?;Cinq résistances de 24 ohms;Six résistances de 22 ohms;Deux résistances de 62 ohms;Cinq résistances de 100 ohms
B-005-005-008;If ten resistors of equal value were wired in parallel, the total resistance would be:;R / 10;10 / R;10 x R;10 + R;Si dix résistances de même valeur sont raccordées en parallèle, la résistance de l'ensemble est donnée par la formule :;R / 10;10 / R;10 x R;10 + R
B-005-005-009;The total resistance of four 68 ohm resistors wired in parallel is:;17 ohms;12 ohms;34 ohms;272 ohms;La résistance totale de quatre résistances de 68 ohms raccordées en parallèle est égale à :;17 ohms;12 ohms;34 ohms;272 ohms
B-005-005-010;Two resistors are in parallel. Resistor A carries twice the current of resistor B, which means that:;A has half the resistance of B;the voltage across B is twice that across A;the voltage across A is twice that across B;B has half the resistance of A;Deux résistances sont placées en parallèle. La résistance "A" est traversée par un courant deux fois plus élevé que la résistance "B" :;la résistance "A" a une valeur deux fois moins élevée que celle de "B";la tension aux bornes de "B" est deux fois plus élevée que celle aux bornes de "A";la tension aux bornes de "A" est deux fois plus élevée que celle aux bornes de "B";la résistance "B" a une valeur deux fois moins élevée que celle de "A"
B-005-005-011;The total current in a parallel circuit is equal to the:;sum of the currents through all the parallel branches;source voltage divided by the value of one of the resistive elements;source voltage divided by the sum of the resistive elements;current in any one of the parallel branches;Le courant total dans un circuit parallèle est égal :;à la somme des courants circulant dans toutes les branches en parallèle;à la tension de la source divisée par la valeur de l'une des résistances;à la tension de la source divisée par la somme des résistances;au courant d'une branche quelconque
B-005-006-001;Why would a large size resistor be used instead of a smaller one of the same resistance?;For greater power dissipation;For better response time;For a higher current gain;For less impedance in the circuit;Pourquoi utiliser une grosse résistance au lieu d'une petite alors qu'elles ont toutes les deux la même valeur ohmique?;Pour une dissipation de chaleur accrue;Pour un meilleur temps de réponse;Pour un gain de courant plus élevé;Pour une impédance réduite dans le circuit
B-005-006-002;How many watts of electrical power are used by a 12 volt DC light bulb that draws 0.2 ampere?;2.4 watts;60 watts;24 watts;6 watts;Combien de watts utilise une lampe de 12 volts CC qui tire un courant de 0,2 ampère?;2,4 watts;60 watts;24 watts;6 watts
B-005-006-003;The DC input power of a transmitter operating at 12 volts and drawing 500 milliamperes would be:;6 watts;20 watts;500 watts;12 watts;Quelle est la puissance d'entrée d'un émetteur qui consomme un courant de 500 milliampères sous 12 volts CC?;6 watts;20 watts;500 watts;12 watts
B-005-006-004;When two 500 ohm 1 watt resistors are connected in series, the maximum total power that can be dissipated by the resistors is:;2 watts;1 watt;1/2 watt;4 watts;Quand deux résistances de 500 ohms, 1 watt, sont raccordées en série, la puissance maximale totale qu'elles peuvent dissiper est de :;2 watts;1 watt;1/2 watt;4 watts
B-005-006-005;When two 500 ohm 1 watt resistors are connected in parallel, they can dissipate a maximum total power of:;2 watts;1/2 watt;1 watt;4 watts;Quand deux résistances de 500 ohms, 1 watt, sont raccordées en parallèle, elles peuvent dissiper une puissance maximale totale de :;2 watts;1/2 watt;1 watt;4 watts
B-005-006-006;If the voltage applied to two resistors in series is doubled, how much will the total power change?;Increase four times;Decrease to half;Double;No change;Si l'on double la tension appliquée à deux résistances en série, de combien change la puissance totale?;Elle quadruple;Elle diminue de moitié;Elle double;Elle ne change pas
B-005-006-007;Which combination of resistors could make up a 50 ohms dummy load capable of safely dissipating 5 watts?;Four 2-watt 200 ohms resistors in parallel;Two 5-watt 100 ohms resistors in series;Two 2-watt 25 ohms resistors in series;Ten quarter-watt 500 ohms resistors in parallel;Quelle combinaison de résistances pourrait servir de charge fictive de 50 ohms et tolérer 5 watts?;Quatre résistances 200 ohms 2 watts en parallèle;Deux résistances 100 ohms 5 watts en série;Deux résistances 25 ohms 2 watts en série;Dix résistances 500 ohms 0,25 watt en parallèle
B-005-006-008;A 12 volt light bulb is rated at a power of 30 watts. The current drawn would be:;30/12 amperes;18 amperes;360 amperes;12/30 amperes;Une lampe de 12 volts a une puissance nominale de 30 watts. Le courant consommé est de :;30/12 d'ampère;18 ampères;360 ampères;12/30 d'ampère
B-005-006-009;If two 10 ohm resistors are connected in series with a 10 volt battery, the power consumption would be:;5 watts;10 watts;20 watts;100 watts;Quelle est la puissance totale consommée par deux résistances de 10 ohms branchées en série aux bornes d'une pile de 10 volts?;5 watts;10 watts;20 watts;100 watts
B-005-006-010;One advantage of replacing a 50 ohm resistor with a parallel combination of two similarly rated 100 ohm resistors is that the parallel combination will have:;the same resistance but greater power rating;the same resistance but lesser power rating;greater resistance and similar power rating;lesser resistance and similar power rating;Un avantage obtenu en remplaçant une résistance de 50 ohms par deux résistances de 100 ohms en parallèle est que ce montage :;permet une puissance plus élevée tout en présentant la même résistance;permet une puissance plus faible tout en présentant la même résistance;présente une résistance plus élevée tout en permettant la même puissance;présente une résistance plus faible tout en permettant la même puissance
B-005-006-011;Resistor wattage ratings are:;determined by heat dissipation qualities;calculated according to physical size and tolerance rating;expressed in joules;variable in steps of one hundred;La dissipation nominale d'une résistance est :;déterminée par sa facilité à dissiper la chaleur;calculée d'après ses dimensions physiques et son taux de tolérance;exprimée en joules;variable en multiples de 100
B-005-007-001;What term means the number of times per second that an alternating current flows back and forth?;Frequency;Speed;Pulse rate;Inductance;Quel terme indique le nombre de fois par seconde qu'un courant alternatif change de direction?;La fréquence;La vitesse;Le taux pulsatif;L'inductance
B-005-007-002;Approximately what frequency range can most humans hear?;20 - 20 000 Hz;20 000 - 30 000 Hz;200 - 200 000 Hz;0 - 20 Hz;Quelle est approximativement la gamme de fréquences qui peut être entendue par l'humain?;De 20 à 20 000 Hz;De 20 000 à 30 000 Hz;De 200 à 200 000 Hz;De 0 à 20 Hz
B-005-007-003;Why do we call signals in the range 20 Hz to 20 000 Hz audio frequencies?;Because the human ear can sense sounds in this range;Because the human ear cannot sense anything in this range;Because this range is too low for radio energy;Because the human ear can sense radio waves in this range;Pourquoi appelle-t-on "signaux audio" les signaux qui se situent dans la gamme de 20 à 20 000 Hz?;Parce que l'oreille humaine peut capter de tels sons;Parce que l'oreille humaine ne peut capter ces sons;Parce que ces fréquences sont trop basses pour des fréquences radio;Parce que l'oreille humaine peut capter les fréquences radio situées dans cette gamme
B-005-007-004;Electrical energy at a frequency of 7125 kHz is in what frequency range?;Radio;Audio;Hyper;Super-high;Dans quelle gamme de fréquences se situe une énergie électrique à la fréquence de 7 125 kHz?;Radio;Audio;Hyperfréquence;Super-haute
B-005-007-005;What is the name for the distance an AC signal travels during one complete cycle?;Wavelength;Wave speed;Waveform;Wave spread;Comment appelle-t-on la distance parcourue par le courant alternatif pendant un cycle complet?;La longueur d'onde;La vitesse de l'onde;La forme de l'onde;L'étendue de l'onde
B-005-007-006;What happens to a signal's wavelength as its frequency increases?;It gets shorter;It gets longer;It stays the same;It disappears;Qu'arrive-t-il à la longueur d'onde d'un signal lorsqu'on augmente sa fréquence?;Elle devient plus courte;Elle devient plus longue;Elle demeure la même;Elle disparaît
B-005-007-007;What happens to a signal's frequency as its wavelength gets longer?;It goes down;It disappears;It stays the same;It goes up;Qu'arrive-t-il à la fréquence d'un signal lorsqu'on augmente la longueur de l'onde?;Elle diminue;Elle disparaît;Elle demeure la même;Elle augmente
B-005-007-008;What does 60 hertz (Hz) mean?;60 cycles per second;6000 metres per second;60 metres per second;6000 cycles per second;Quelle est la signification de 60 Hertz (Hz)?;60 cycles par seconde;6 000 mètres par seconde;60 mètres par seconde;6 000 cycles par seconde
B-005-007-009;If the frequency of the waveform is 100 Hz, the time for one cycle is:;0.01 second;10 seconds;0.0001 second;1 second;Si la fréquence d'une onde est de 100 Hz, la durée d'un cycle est :;0,01 seconde;10 secondes;0,0001 seconde;1 seconde
B-005-007-010;Current in an AC circuit goes through a complete cycle in 0.1 second. This means the AC has a frequency of:;10 Hz;1 Hz;100 Hz;1000 Hz;Le courant dans un circuit CA effectue un cycle complet toutes les 0,1 seconde. La fréquence de ce courant est de :;10 Hz;1 Hz;100 Hz;1 000 Hz
B-005-007-011;A signal is composed of a fundamental frequency of 2 kHz and another of 4 kHz. This 4 kHz signal is referred to as:;a harmonic of the 2 kHz signal;a fundamental of the 2 kHz signal;the DC component of the main signal;a dielectric signal of the main signal;Un signal est composé d'une fréquence fondamentale à 2 kHz et d'un autre signal à 4 kHz. Ce signal à 4 kHz est :;un harmonique du signal à 2 kHz;une fondamentale du signal à 2 kHz;la composante continue du signal principal;un signal diélectrique du signal principal
B-005-008-001;A two-times increase in power results in a change of how many dB?;3 dB higher;6 dB higher;12 dB higher;1 dB higher;Lorsqu'on double la puissance, quel est le changement dans le nombre de décibels?;Une augmentation de 3 dB;Une augmentation de 6 dB;Une augmentation de 12 dB;Une augmentation de 1 dB
B-005-008-002;How can you decrease your transmitter's power by 3 dB?;Divide the original power by 2;Divide the original power by 1.5;Divide the original power by 3;Divide the original power by 4;Comment peut-on diminuer la puissance de l'émetteur de 3 dB?;En divisant la puissance originale par 2;En divisant la puissance originale par 1,5;En divisant la puissance originale par 3;En divisant la puissance originale par 4
B-005-008-003;How can you increase your transmitter's power by 6 dB?;Multiply the original power by 4;Multiply the original power by 3;Multiply the original power by 2;Multiply the original power by 1.5;Comment peut-on augmenter la puissance de l'émetteur de 6 dB?;En multipliant la puissance originale par 4;En multipliant la puissance originale par 3;En multipliant la puissance originale par 2;En multipliant la puissance originale par 1,5
B-005-008-004;If a signal-strength report is "10 dB over S9", what should the report be if the transmitter power is reduced from 1500 watts to 150 watts?;S9;S9 plus 3 dB;S9 minus 10 dB;S9 plus 5 dB;Si la force d'un signal émis avec 1 500 watts de puissance est de "S9 plus 10 dB", quelle sera la force de ce signal émis avec une puissance de 150 watts?;S9;S9 plus 3 dB;S9 moins 10 dB;S9 plus 5 dB
B-005-008-005;If a signal-strength report is "20 dB over S9", what should the report be if the transmitter power is reduced from 1500 watts to 150 watts?;S9 plus 10 dB;S9 plus 5 dB;S9 plus 3 dB;S9;Si un rapport de signal est de "S9 plus 20 dB", quel sera ce rapport si l'émetteur émet à 150 watts au lieu de 1 500 watts?;S9 plus 10 dB;S9 plus 5 dB;S9 plus 3 dB;S9
B-005-008-006;The unit "decibel" is used to indicate:;a mathematical ratio;an oscilloscope wave form;certain radio waves;a single side band signal;Le décibel est une unité utilisée pour :;des rapports mathématiques;le tracé sur un oscilloscope;certaines ondes radio;un signal de bande latérale unique
B-005-008-007;The power output from a transmitter increases from 1 watt to 2 watts. This is a dB increase of:;3;30;6;1;La puissance de sortie d'un émetteur passe de 1 watt à 2 watts. Comment cette augmentation s'exprime-t-elle en dB?;3;30;6;1
B-005-008-008;The power of a transmitter is increased from 5 watts to 50 watts by a linear amplifier. The power gain, expressed in dB, is:;10 dB;30 dB;40 dB;20 dB;Un amplificateur linéaire augmente la puissance d'un émetteur de 5 watts à 50 watts. Le gain de puissance, exprimé en dB, sera de :;10 dB;30 dB;40 dB;20 dB
B-005-008-009;You add a 9 dB gain amplifier to your 2 watt handheld. What is the power output of the combination?;16 watts;11 watts;20 watts;18 watts;Pour augmenter la puissance de votre émetteur portatif de 2 watts, vous ajoutez un amplificateur d'un gain de 9 dB. Quelle sera la nouvelle puissance de sortie?;16 watts;11 watts;20 watts;18 watts
B-005-008-010;The power of a transmitter is increased from 2 watts to 8 watts. This is a power gain of __________ dB.;6 dB;3 dB;8 dB;9 dB;La puissance d'un émetteur est augmentée de 2 watts à 8 watts. Le gain de puissance est alors de ________ dB.;6 dB;3 dB;8 dB;9 dB
B-005-008-011;A local amateur reports your 100W 2M simplex VHF transmission as 30 dB over S9. To reduce your signal to S9, you would reduce your power to ______ watts.;100 mW;1 W;10 W;33.3 W;Un radioamateur local rapporte que votre émission VHF 2 mètres en simplex, à 100 W, lui donne une lecture de 30 dB au-dessus de S9. Pour réduire votre signal à S9, vous devriez réduire la puissance à ____ watts.;100 mW;1 W;10 W;33,3 W
B-005-009-001;If two equal-value inductors are connected in series, what is their total inductance?;Twice the value of one inductor;Half the value of one inductor;The same as the value of either inductor;The value of one inductor times the value of the other;Si deux bobines de valeur égale sont reliées en série, quelle est l'inductance totale?;Le double de la valeur d'une bobine;La moitié de la valeur d'une bobine;La même valeur qu'une des bobines;La valeur d'une bobine multipliée par la valeur de l'autre bobine
B-005-009-002;If two equal-value inductors are connected in parallel, what is their total inductance?;Half the value of one inductor;Twice the value of one inductor;The same as the value of either inductor;The value of one inductor times the value of the other;Si deux bobines de valeur égale sont reliées en parallèle, quelle sera la valeur totale de l'inductance?;La moitié de la valeur d'une des bobines;Deux fois la valeur d'une des bobines;La même valeur que l'une des bobines;La valeur d'une bobine multipliée par la valeur de l'autre bobine
B-005-009-003;If two equal-value capacitors are connected in series, what is their total capacitance?;Half the value of either capacitor;Twice the value of one capacitor;The same as the value of either capacitor;The value of one capacitor times the value of the other;Lorsque deux condensateurs de valeur égale sont reliés en série, quelle est la capacité totale obtenue?;La moitié de la valeur de l'un des condensateurs;Le double de la valeur de l'un des condensateurs;La valeur de l'un des condensateurs;La valeur de l'un des condensateurs multipliée par la valeur de l'autre condensateur
B-005-009-004;If two equal-value capacitors are connected in parallel, what is their total capacitance?;Twice the value of one capacitor;The same as the value of either capacitor;The value of one capacitor times the value of the other;Half the value of one capacitor;Si deux condensateurs de valeur égale sont reliés en parallèle, quelle est la capacité totale obtenue?;Deux fois la valeur de l'un des condensateurs;La même valeur que l'un des condensateurs;La valeur de l'un des condensateurs multipliée par la valeur de l'autre condensateur;La moitié de la valeur de l'un des condensateurs
B-005-009-005;What determines the inductance of a coil?;The core material, the coil diameter, the length of the coil and the number of turns of wire used to wind the coil;The core material, the number of turns used to wind the coil and the frequency of the current through the coil;The coil diameter, the number of turns of wire used to wind the coil and the type of metal used for the wire;The core material, the coil diameter, the length of the coil and whether the coil is mounted horizontally or vertically;Qu'est-ce qui détermine l'inductance d'une bobine?;La composition du noyau, le diamètre de la bobine, la longueur de l'enroulement et le nombre de tours de fil;La composition du noyau, le nombre de tours de fil et la fréquence du courant qui traverse la bobine;Le diamètre du noyau, le nombre de tours de fil et le matériau du fil conducteur utilisé;La composition du noyau, le diamètre de la bobine, la longueur de l'enroulement et le fait que la bobine soit verticale ou horizontale
B-005-009-006;What determines the capacitance of a capacitor?;The material between the plates, the surface area of the plates, the number of plates and the spacing between the plates;The material between the plates, the number of plates and the size of the wires connected to the plates;The number of plates, the spacing between the plates and whether the dielectric material is N type or P type;The material between the plates, the area of one plate, the number of plates and the material used for the protective coating;Qu'est-ce qui détermine la capacité d'un condensateur?;Le matériau entre les plaques, la surface des plaques, le nombre de plaques et la distance entre les plaques;Le matériau entre les plaques, le nombre de plaques et le diamètre du fil utilisé pour relier les plaques au circuit;Le nombre de plaques, l'espace entre les plaques et le fait que le matériau diélectrique soit de type N ou de type P;Le matériau diélectrique, la surface d'une plaque, le nombre de plaques et le matériau utilisé comme couche protectrice
B-005-009-007;If two equal-value capacitors are connected in parallel, what is their capacitance?;Twice the value of either capacitor;The same value of either capacitor;The value of one capacitor times the value of the other;Half the value of either capacitor;La capacité de deux condensateurs de valeur égale connectés en parallèle est :;égale à deux fois la valeur de l'un des condensateurs;égale à la valeur de l'un des condensateurs;égale à la valeur d'un condensateur multipliée par la valeur du second condensateur;égale à la moitié de la valeur de l'un des condensateurs
B-005-009-008;To replace a faulty 10 millihenry choke, you could use two:;5 millihenry chokes in series;20 millihenry chokes in series;30 millihenry chokes in parallel;5 millihenry chokes in parallel;Une bobine défectueuse de 10 millihenrys peut être remplacée par :;deux bobines de 5 millihenrys en série;deux bobines de 20 millihenrys en série;deux bobines de 30 millihenrys en parallèle;deux bobines de 5 millihenrys en parallèle
B-005-009-009;Three 15 microfarad capacitors are wired in series. The total capacitance of this arrangement is:;5 microfarads;45 microfarads;12 microfarads;18 microfarads;Trois condensateurs de 15 microfarads sont branchés en série. La capacité totale de ce montage est égale à :;5 microfarads;45 microfarads;12 microfarads;18 microfarads
B-005-009-010;Which series combinations of capacitors would best replace a faulty 10 microfarad capacitor?;Two 20 microfarad capacitors;Two 10 microfarad capacitors;Twenty 2 microfarad capacitors;Ten 2 microfarad capacitors;Quel ensemble de condensateurs en série permettrait de remplacer le plus exactement possible un condensateur défectueux de 10 microfarads?;Deux condensateurs de 20 microfarads;Deux condensateurs de 10 microfarads;Vingt condensateurs de 2 microfarads;Dix condensateurs de 2 microfarads
B-005-009-011;The total capacitance of two or more capacitors in series is:;always less than the smallest capacitor;found by adding each of the capacitors together and dividing by the total number of capacitors;found by adding each of the capacitors together;always greater than the largest capacitor;La capacité totale de deux ou plusieurs condensateurs en série :;est toujours inférieure à la plus faible des capacités individuelles;se calcule en additionnant la capacité des condensateurs et en divisant la somme par le nombre total de condensateurs;se calcule en additionnant la capacité des condensateurs;est toujours supérieure à la plus élevée des capacités individuelles
